pickup_hour,rows,RMSE,MAE,mean_error
0,8052,3.914562564538139,1.9139888978981583,-0.06324214725212751
1,5890,4.731800153180753,1.895463954983175,-0.06277794580202539
2,4384,4.238159369366625,1.9152369981558937,0.0276437709845283
3,3193,3.6763484086021325,1.9570072055637553,0.025294501928268678
4,2246,4.868157373941722,2.2560921171370247,0.06666564633200046
5,2040,5.197833741654786,2.495295682391596,0.07316755036288175
6,4048,4.579470416332857,1.915131140770352,0.16614096201165152
7,7162,3.891835483506246,1.8512314757541004,-0.16421943451729817
8,9031,3.4811065340330924,1.984898774978912,0.24104926576273727
9,9396,3.669013271763704,1.9337539760412006,-0.029891361892401158
10,8969,3.427782370431995,1.9451784921591517,0.05083217970302551
11,9207,3.473586715874404,1.9818503874454627,-0.0817859826276546
12,9753,3.810606174850945,2.0107856164883113,-0.10388992027548703
13,9932,3.7477731230463305,2.062883820169252,-0.10049848306912716
14,10227,3.99707015911531,2.128895951091196,-0.16678905287476994
15,9644,4.111329352157018,2.1601049761441296,-0.16865100479751297
16,8249,4.481386296969682,2.154790432161349,-0.0361598834186198
17,9940,4.281484753383986,2.095279124497459,-0.059532232550677834
18,11930,3.4944278603950516,1.912510036042114,0.026264321543061818
19,12343,3.3702921772497385,1.7797672028009948,0.07605512491703045
20,11931,3.2484075727122645,1.744230406085267,0.020011807898827668
21,11412,3.297272914235937,1.7826838139336452,0.046882768909405736
22,11095,3.2335158262442922,1.789046951827597,0.08419103192307927
23,9926,4.060022288095901,1.926479948525395,0.0946824456791085
