passenger_count,rows,RMSE,MAE,mean_error
1,138592,3.9199898803149487,1.9513637580258858,0.007091444627468727
2,29757,3.569797324009031,1.962641535206685,-0.05877355198106121
3,8825,3.3848437908891293,1.9241861466374457,-0.12629111386073386
4,4326,3.6263152661434654,1.9010413294335768,-0.12960451075142437
5,14299,3.6134407822730927,1.9636785778241823,0.19089744898546585
6,4201,3.4011801139211233,1.9672823621816278,-0.45343466208683175
