fare_band,rows,mean_actual_fare,RMSE,MAE,mean_error
"[2.50, 10]",125063,6.605531212269017,2.187533282409583,1.2477324108102803,0.7292459877793317
"(10, 20]",54736,13.533145827243496,2.99422199410502,2.166125982105637,-0.5687359705142546
"(20, 40]",14895,27.40252903658946,6.116956603594914,4.546718268333372,-1.8068270728896736
"(40, 100]",5270,51.845470588235294,13.571854130728763,8.623113641379545,-6.104799850296916
>100,36,129.57777777777778,88.96347056944553,72.67675255308347,-72.30294733409465
