feature,impurity_rank,permutation_rank,impurity_importance,permutation_importance_mean
trip_distance,1,1,0.8534074890542178,7.408122196306602
dropoff_longitude,2,2,0.05013024149466074,1.192367839867898
pickup_longitude,3,4,0.030031111907484677,0.5916356081368257
dropoff_latitude,4,3,0.026088837438183382,0.6954801445720762
pickup_latitude,5,5,0.01832850892348038,0.24980100211729903
pickup_hour,6,6,0.013114088833508487,0.16571794285054003
day_of_week,7,7,0.0054025981134915545,0.011715530211128478
passenger_count,8,9,0.002561138997095771,0.0018972341851879015
is_weekend,9,8,0.0009359852378771701,0.006001030515138783
